Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Пустовіт;Святослава;Федірівна;Жінка;30-12-2000;Археолог;місто Снігурівка;набережна Черкаська, буд. 759 кв. 37, Коростень, 55670;050 783 44 88;arsenbezborodko@example.net
Туркало;Євген;Яремович;Чоловік;24-10-1940;Ґрунтознавець;село Конотоп;набережна Аеропортівський 4-й, буд. 11 кв. 780, Рені, 82350;483-94-94;tarasaleksandrenko@example.org
Вергун;Федір;Владиславович;Чоловік;19-06-2006;Доцент;хутір Привілля;вулиця Кондрашина, буд. 66, Бурштин , 26750;+380 04 391-56-95;azabila@example.net
Бездітко;Юстина;Глібівна;Жінка;11-06-1995;Акушер;хутір Збараж;вулиця Кондрашина, буд. 6, Кам'янець-Подільський, 55760;+380 (81) 809-44-66;wavdieienko@example.com
Даниленко;Марко;Олександрович;Чоловік;04-05-1999;Фрілансер;селище Старокостянтинів;набережна Ціолковського, буд. 451 кв. 790, Старобільськ, 47100;991-95-98;arsennazarenko@example.net
Ірванець;Марʼяна;Ігорівна;Жінка;26-10-1991;Ді-джей;місто Здолбунів;провулок Фестивальний, буд. 7 кв. 8, Берестечко, 72377;+380 94 956-93-09;demydteslenko@example.org
Царенко;Ірена;Павлівна;Жінка;15-02-1989;Пекар;селище Знам'янка;парк Мельницька, буд. 472 кв. 196, Перещепине, 86347;+380 06 847 26 01;ushcherban@example.net
Данькевич;Альбіна;Давидівна;Жінка;31-03-2005;Мовознавець;хутір Гайворон;шосе Володимира Хавкіна, буд. 24 кв. 8, Львів, 75285;+380 08 904 14 27;vyshniakievhen@example.com
Акуленко;Степан;Гаврилович;Чоловік;31-05-1951;Будник;село Белз;шосе Мала Садова, буд. 1, Лиман , 28400;240 73 52;gerusanton@example.org
Якимчук;Павло;Яремович;Чоловік;27-09-1962;Швачка;хутір Кодима;узвіз Італійський, буд. 2 кв. 10, Дубно, 01041;+380 42 653-52-78;chalyiroman@example.net
Юрчук;Нестор;Юхимович;Чоловік;15-03-1957;Підприємець;місто Стебник;сквер Аркадіївський, буд. 530 кв. 588, Тисмениця, 25967;+380 51 895-20-06;olehzhuk@example.org
Титаренко;Юхим;Адамович;Чоловік;24-12-2000;Кухар;село Дунаївці;шосе Проектований 3-й, буд. 75, Теплодар, 36435;828-60-76;skyrdaleontii@example.net
Акуленко;Богданна;Семенівна;Жінка;09-04-1968;Будник;село Яворів;шосе Ліверпульський, буд. 55, Соледар, 99691;095 172-09-29;hodunoksnizhana@example.org
Єщенко;Ігор;Прохірович;Чоловік;17-03-1948;Гінеколог;село Золотоноша;узвіз Запорізька, буд. 91 кв. 3, Підгородне, 53493;+380 (32) 639-91-23;larysalytvyn@example.net
Карась;Аарон;Остапович;Чоловік;25-03-1975;Льотчик;місто Сквира;вулиця Ільфа і Петрова, буд. 4, Ірміно, 61838;+380 43 427 54 06;iaremapiatachenko@example.com
Балабан;Святослав;Борисович;Чоловік;04-09-1938;Складальник;село Глухів;вулиця Новікова 2-га, буд. 2, Ромни, 63833;+380 (92) 709-31-92;ttsisyk@example.org
Бабенко;Лесь;Омелянович;Чоловік;09-09-1964;Музичний редактор;хутір Південне ;шосе Деревообробний 4-й, буд. 09 кв. 4, Вільнянськ, 33938;+380 (68) 554-28-45;dmytro87@example.org
Яценко;Ярослава;Богданівна;Жінка;28-04-1987;Петрограф;село Олевськ;площа Восьмого березня 6-й, буд. 47 кв. 74, Полонне, 14507;+380 06 529 51 65;bchubai@example.org
Шахрай;Едита;Адамівна;Жінка;19-06-1968;Євнух;село Алмазна;набережна Бехтерєва, буд. 48, Старий Самбір, 56863;+380 56 493-35-04;bhuk@example.org
Байдак;Тарас;Стефанович;Чоловік;29-02-1956;Ріелтор;хутір Синельникове;узвіз Лип Івана та Юрія, буд. 5, Стрий, 67187;563 25 81;geregademian@example.net
Луценко;Гордій;Єлисейович;Чоловік;16-11-1976;Шериф;місто Буськ;проспект Манежна, буд. 721, Пологи , 95519;+380 85 250-72-22;marko69@example.org
Єресько;Аліна;Костянтинівна;Жінка;21-06-1984;Стиліст;селище Макіївка;площа Селекційна, буд. 8, Лозова , 26418;+380 95 986 26 81;ktelizhenko@example.org
Шеремет;Едуард;Вадимович;Чоловік;26-04-2006;Палеонтолог;хутір Ківерці;парк Ползунова 1-й, буд. 9, Рогатин, 44715;945-97-40;babychmartyn@example.net
Бандурка;Дарина;Несторівна;Жінка;29-10-1989;Мікробіолог;хутір Баранівка;набережна Новобазарний, буд. 4 кв. 840, Світловодськ, 66209;195 87 90;movcharenko@example.com
Василевич;Марина;Кирилівна;Жінка;23-07-1982;Актор;місто Яготин;набережна Сортувальна 1-ша, буд. 276, Дружба , 31455;525 49 78;varvara82@example.com
Литвиненко;Ігор;Лесьович;Чоловік;26-08-1978;Стиліст;хутір Мирноград;вулиця Космонавтів, буд. 216 кв. 5, Антрацит , 97305;040 710 45 12;ldrobakha@example.org
Василенко;Мартин;Яківович;Чоловік;12-05-1965;Бухгалтер;місто Луганськ;проспект Луценка Івана, буд. 584, Щолкіне, 66831;+380 57 940-10-90;zynovii99@example.org
Демʼянчук;Мирон;Іванович;Чоловік;04-04-1951;Випробувач;село Зборів;набережна Торгова, буд. 3 кв. 885, Івано-Франківськ, 85825;456-25-23;gsliusar@example.com
Гаврилюк;Олександр;Левкович;Чоловік;24-12-1939;Дипломат;хутір Мала Виска;вулиця Кінна, буд. 880, Стрий, 25565;035 865-14-60;oleksandrhres@example.com
Єщенко;Спас;Михайлович;Чоловік;02-04-1977;Біолог;хутір Старобільськ;вулиця Овідіопольська дуга, буд. 205, Хуст, 57322;+380 (21) 862-36-07;nazar96@example.com
Данченко;Леопольд;Зорянович;Чоловік;14-03-1968;Журналіст;селище Антрацит ;провулок Сухолиманна, буд. 2 кв. 371, Вінниця, 46549;742-44-97;volodymyrzinkevych@example.org
Артюшенко;Мілена;Антонівна;Жінка;29-04-1967;Науковець;село Чорноморськ;парк Новий, буд. 43, Дубно, 32164;+380 (13) 939-50-16;slahoda@example.org
Тимченко;Анжела;Степанівна;Жінка;28-09-2007;Стиліст;місто Гайсин;провулок Восьмого березня 5-й, буд. 27, Копичинці, 32726;020 555 79 05;ustymbezditko@example.org
Ребрик;Мартин;Веніяминович;Чоловік;31-01-1980;Електромонтер;місто Буча;вулиця 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 10 кв. 60, Пустомити, 51772;+380 (61) 792-42-78;mykolai91@example.net
Доценко;Симон;Демидович;Чоловік;18-09-1948;Мірошник;село Суходільськ;парк Трамвайний, буд. 01 кв. 3, Сокаль, 67474;041 901 96 12;darahanpanteleimon@example.org
Матвієнко;Пилип;Іллйович;Чоловік;03-01-1978;Футболіст;місто Надвірна;провулок Гоголя, буд. 747, Острог, 53280;021 609-52-93;xpetryk@example.net
Яценко;Лілія;Прохірівна;Жінка;19-03-2007;Гінеколог;хутір Сіверськ;сквер Біляївська, буд. 80, Миргород, 08478;156-11-18;nsliusar@example.net
Приймак;Мілена;Валентинівна;Жінка;26-08-2006;Модельєр;селище Великі Мости;площа Котляревського, буд. 34, Самбір, 85190;+380 76 724-05-05;hryhoriiiakymenko@example.org
Лесик;Леопольд;Феофанович;Чоловік;20-02-1986;Слідчий;селище Винники;шосе Розумовський 1-й, буд. 1, Надвірна, 59159;+380 96 430-42-12;spasshmorhun@example.net
Александренко;Соломія;Устимівна;Жінка;06-10-1941;Клоун;село Чортків;парк Олександра Вронського, буд. 9, Рубіжне, 95584;+380 55 320-03-83;odarka09@example.org
Лубенець;Алевтин;Хомович;Чоловік;29-02-2004;Кінокритик;село Костянтинівка;площа Кришталева, буд. 26 кв. 57, Токмак, 61999;036 140-20-60;bezditkosofiia@example.com
Бандера;Лілія;Хомівна;Жінка;29-05-1981;Філолог;місто Мелітополь;сквер Українська, буд. 74 кв. 59, Помічна, 57620;+380 69 350-85-58;zakusylomyroslav@example.org
Лесик;Орися;Євгенівна;Жінка;22-04-1941;Правник;місто Лиман ;сквер Садовського, буд. 271 кв. 27, Енергодар, 98336;+380 73 362-10-87;sofiia66@example.org
Арсенич;Остап;Олегович;Чоловік;23-01-1992;Інженер;селище Добромиль;площа Градоначальницька, буд. 883, Бердянськ, 62654;+380 48 586-51-08;eshcherbak@example.net
Дерегус;Сергій;Богданович;Чоловік;08-01-1990;Мистецтвознавець;хутір Першотравенськ;шосе Леваневського, буд. 74, Гірник , 85024;057 513-69-58;xorobets@example.com
Цимбал;Людмила;Сергіївна;Жінка;17-05-2004;Бібліотекар;хутір Покров;площа Пугачова, буд. 988, Канів, 78816;000 383 08 54;wchaban@example.com
Гузенко;Дмитро;Іванович;Чоловік;08-04-1959;Паблік рилейшнз;місто Копичинці;узвіз Вертелецького, буд. 8 кв. 1, Липовець, 81456;015-21-86;leontiisalii@example.org
Данчук;Хома;Онисимович;Чоловік;21-10-1996;Круп'є;місто Очаків;набережна Тупиковий 1-й, буд. 740 кв. 1, Покров, 30364;+380 57 517 48 72;rdanko@example.org
Супруненко;Лесь;Костянтинович;Чоловік;28-10-1957;Археолог;місто Теплодар;парк Віцеадмірала Жукова, буд. 75 кв. 2, Любомль, 95719;+380 84 984 46 72;allaprotsenko@example.com
Бабариченко;Тереза;Арсенівна;Жінка;25-03-1952;Фармацевт;село Ватутіне;набережна Політкаторжан, буд. 8 кв. 91, Первомайський , 66311;749-04-78;arkhypenkomariia@example.com
Демʼяненко;Ярослава;Спасівна;Жінка;13-10-1973;Історик;селище Великі Мости;набережна Геологічна, буд. 019 кв. 4, Бахмут, 56199;024 955-86-90;ehunko@example.org
Каденюк;Мартин;Павлович;Чоловік;25-10-1960;Епідеміолог;село Балаклія;вулиця Бориса Літвака, буд. 14, Шаргород, 72317;485 61 63;zvanchenko@example.net
Піддубний;Василина;Амвросіївна;Жінка;05-08-1944;Слідчий;село Довжанськ;шосе Деревообробний 3-й, буд. 1, Кальміуське, 30790;+380 20 060-05-11;semen10@example.net
Влох;Соломія;Валентинівна;Жінка;29-06-1967;Сценарист;селище Виноградів;шосе Білоруська, буд. 2 кв. 12, Овруч, 76550;240 84 65;milena62@example.org
Атаманюк;Христина;Климентівна;Жінка;06-03-1948;Випробувач;селище Радивилів;узвіз Новомосковська дорога, буд. 87 кв. 48, Новодністровськ, 88795;675 88 79;prokhirdubyna@example.org
Цушко;Стефан;Давидович;Чоловік;13-06-1948;Машиніст;місто Скалат;сквер Спартаківська, буд. 043 кв. 31, Болград, 50492;070 786-77-68;tryhublarysa@example.org
Шамрай;Орина;Авреліївна;Жінка;12-10-2001;Гінеколог;місто Шахтарськ;узвіз Байкальська, буд. 55, Макіївка, 15749;002 518-98-95;iukhym09@example.net
Семенченко;Оксенія;Степанівна;Жінка;04-11-1941;Кінорежисер;село Лубни;парк Дунаєвського 1-й, буд. 53 кв. 5, Свалява, 31378;+380 42 997-75-73;divashchenko@example.org
Ґжицький;Ада;Максимівна;Жінка;20-04-1947;Письменник;селище Буськ;узвіз Вітчизняна, буд. 785, Молодогвардійськ, 98047;019 111-17-64;vasylynazabashta@example.net
Забарний;Соломон;Гаврилович;Чоловік;07-01-2008;Епідеміолог;селище Кадіївка;шосе Вчительська, буд. 33, Броди, 77223;938 12 55;amaliiafurs@example.net
Іваничук;Емілія;Олегівна;Жінка;30-12-1970;Кухар;селище Перемишляни;вулиця Львівський, буд. 357, Ізюм, 21978;+380 77 295 35 36;illiashmorhun@example.net
Артимович;Ростислав;Орестович;Чоловік;09-06-1967;Філолог;село Кривий Ріг;шосе Незалежності, буд. 992, Городок, 55067;590 55 50;svystunmilena@example.com
Кибкало;Емілія;Андріївна;Жінка;21-04-1946;Сантехнік;місто Сєвєродонецьк;шосе Ковалевського узвіз, буд. 185 кв. 98, Шепетівка, 29858;045 749-45-74;mykolaivashchenko-zakharchenko@example.net
Нестеренко;Ростислав;Ігорович;Чоловік;23-05-1948;Різноробочий;селище Севастополь;площа Короленка, буд. 7, Борзна, 96599;336 94 12;irenaudovychenko@example.net
Примаченко;Прохір;Омелянович;Чоловік;31-10-1995;Письменник;хутір Жовті Води;площа Наявний 5-й, буд. 5 кв. 795, Хмельницький, 98355;055 029 43 80;lukashvolodymyr@example.com
Лемешко;Анжела;Ростиславівна;Жінка;13-05-1984;Зоолог;місто Каховка;набережна Бородінська, буд. 721 кв. 6, Яворів, 75271;+380 (24) 496-85-94;iurchyshynolha@example.com
Євдокименко;Едита;Яремівна;Жінка;03-12-1955;Льотчик;місто Дунаївці;площа Полуничний, буд. 5 кв. 590, Радивилів, 99862;+380 85 917-40-62;hievtushenko@example.org
Петрик;Людмила;Едуардівна;Жінка;20-05-1958;Живописець;місто Могилів-Подільський;узвіз Селищна, буд. 60 кв. 25, Гірник , 18503;+380 (04) 548-45-53;zhurbaoksana@example.org
Дубина;Оксенія;Ігнатівна;Жінка;30-01-1983;Конструктор;село Бунге ;сквер Восьмого Березня Лінія 4-та, буд. 820 кв. 879, Монастирище, 25367;+380 36 019 55 65;heorhiizaichenko@example.com
Чалий;Геннадій;Володимирович;Чоловік;27-04-1990;Зоолог;хутір Ізяслав;узвіз Каховський, буд. 947 кв. 456, Березне, 90112;015 618 82 01;leonid59@example.net
Скирда;Олександр;Симонович;Чоловік;07-12-2003;Клоун;хутір Городня;вулиця Морська, буд. 70 кв. 06, Шостка, 95897;+380 88 903-40-02;poltavetsavrelii@example.com
Терещенко;Захар;Данилович;Чоловік;22-09-1941;Драматург;місто Торецьк;проспект Листяна, буд. 6, Калуш, 67385;971 13 90;antonprotsenko@example.org
Приходько;Анжела;Парменівна;Жінка;22-01-1972;Зоолог;місто Харків;вулиця Гагаріна, буд. 86, Берегове, 81063;022 222 64 39;esvystun@example.net
Вергун;Тетяна;Климентівна;Жінка;17-09-1954;Няня;хутір Кам'янець-Подільський;провулок Подільська, буд. 617, Жовква, 75139;185-53-12;teodor69@example.com
Бабак;Борис;Демʼянович;Чоловік;21-11-1977;Секретар;село Шостка;вулиця Лінія 54-та, буд. 871, Горішні Плавні, 53589;588-03-42;ostaplesyk@example.org
Медведенко;Валентина;Варфоломіївна;Жінка;18-11-1949;Електромонтажник;селище Сіверськ;провулок Дачна, буд. 02, Тиврів, 71873;+380 (51) 987-52-09;iliashko@example.com
Шморгун;Валерій;Остапович;Чоловік;29-01-1987;Астрофізик;село Гуляйполе;вулиця Шишкіна 1-й, буд. 392, Хрестівка, 79782;530-47-32;zhalilorostyslav@example.org
Венгринович;Людмила;Леонідівна;Жінка;10-03-1958;Геолог;село Бунге ;вулиця Байдарочний, буд. 330 кв. 200, Ватутіне, 26771;096 851 64 59;liubov49@example.com
Верменич;Едита;Вʼячеславівна;Жінка;11-03-1952;Дантист;місто Красноград;узвіз Східний, буд. 8, Дунаївці, 64646;+380 23 448-93-40;zinchenkoonysym@example.com
Килимник;Емілія;Микитівна;Жінка;08-05-2004;Музичний редактор;хутір Стебник;шосе Рівний, буд. 942, Очаків, 09868;044 334 87 69;stepan20@example.com
Дубенко;Єфрем;Віталійович;Чоловік;30-09-1945;Географ;хутір Запоріжжя;вулиця Лінія 39-та, буд. 90 кв. 7, Таврійськ, 26456;020 090 50 19;kharchenkoboryslav@example.net
Лемешко;Святослава;Леонівна;Жінка;30-06-1981;Епідеміолог;селище Мелітополь;вулиця Пересипська 9-та, буд. 2, Житомир, 44886;694 12 17;khrystenkooleh@example.net
Андрусенко;Вʼячеслав;Аркадійович;Чоловік;10-01-1988;Геолог;селище Гайворон;шосе Обільна, буд. 90, Антрацит , 33583;772 41 00;ostap25@example.org
Пелех;Еріка;Леонівна;Жінка;20-02-1957;Головний меркшейдер;село Жовті Води;парк Залізнична, буд. 02, Балта, 26769;030 344 89 71;iromanchuk@example.com
Гриценко;Ярослава;Борисівна;Жінка;04-01-1987;Паралегал;селище Судова Вишня;вулиця Рішельєвська, буд. 275 кв. 8, Вижниця, 59153;058 131 37 76;bohodar95@example.com
Литвиненко;Тетяна;Зорянівна;Жінка;06-05-1943;Головний меркшейдер;хутір Тиврів;вулиця Успенська, буд. 34 кв. 910, Зборів, 85657;647 10 58;symon06@example.com
Дурдинець;Варфоломій;Євгенович;Чоловік;25-11-2003;Геофізик;хутір Шостка;вулиця Аграрна, буд. 485, Черкаси, 02301;242-00-40;avrelii94@example.net
Гайда;Михайло;Володимирович;Чоловік;23-10-2004;Епідеміолог;село Любомль;провулок Соляний 4-й, буд. 1 кв. 04, Мар'їнка, 60992;+380 41 193-93-64;ivasiukrostyslav@example.org
Гуцуляк;Віктор;Орхипович;Чоловік;13-06-1940;Архітектор;селище Новоазовськ;набережна Ніжинська, буд. 19, Хоростків, 96767;+380 91 320 43 09;xiaremchuk@example.org
Супруненко;Святослава;Болеславівна;Жінка;18-02-1988;Співак;селище Федорівка;провулок Центральний аеропорт, буд. 1, Переяслав, 32403;085 770 56 41;chmilnataliia@example.net
Єрмоленко;Лариса;Лукʼянівна;Жінка;15-09-2000;М'ясник;селище Жмеринка;парк Аеропортівський 3-й, буд. 6 кв. 80, Буринь, 93274;+380 98 845 50 39;kieremenko@example.org
Лубенець;Аврелій;Яремович;Чоловік;23-06-1941;Вчитель;хутір Хотин;парк Травневий 1-й, буд. 61, Білозерське, 44532;063 291 03 29;zlatoslava38@example.net
Бабариченко;Франц;Миколайович;Чоловік;18-12-1971;Архітектор;хутір Комарно;провулок Академіка Векслера, буд. 070 кв. 3, Буринь, 05087;+380 22 791 63 58;symonpiddubnyi@example.net
Тихий;Борис;Давидович;Чоловік;11-11-1974;Композитор;хутір Лисичанськ;парк Тиха, буд. 53, Барвінкове, 39175;748-71-53;jsatsiuk@example.org
Затула;Одарка;Ігорівна;Жінка;26-09-1966;Дизайнер;селище Сновськ;узвіз Старокінний, буд. 99, Дубровиця, 33067;+380 37 832-50-15;herman45@example.com
Сагаль;Георгій;Гордійович;Чоловік;02-03-1979;Графік;село Приморськ (Україна);вулиця Удільний, буд. 028 кв. 896, Липовець, 89445;+380 52 393-50-38;dvyshniak@example.org
Дрозд;Михайлина;Соломонівна;Жінка;10-04-1952;Хореограф;селище Городище ;парк Яхненка Семена, буд. 41, Хмельницький, 46451;075 030 78 84;vlasenkoliubov@example.net
Чуприна;Едита;Несторівна;Жінка;02-10-1980;Фізик;селище Скадовськ;проспект Супутників, буд. 0, Довжанськ, 11765;215 52 19;abramenkoveniiamyn@example.org
Іваненко;Костянтин;Єлисейович;Чоловік;28-03-1996;Намотувальник;місто Валки ;площа Радіальна, буд. 1, Угнів, 54797;373 92 39;ucherinko@example.org
Забара;Антон;Борисович;Чоловік;29-09-1964;Драматург;село Коростишів;парк Нафтовиків 2-й, буд. 7, Борщів, 37559;+380 54 558-28-06;solomonsirchenko@example.org
Кащенко;Христина;Охрімівна;Жінка;01-09-1943;Зоолог;місто Ічня;набережна Мічманський 1-й, буд. 91, Іловайськ, 77463;996 55 47;pylypzubko@example.com
Аврамчук;Леон;Едуардович;Чоловік;12-12-1987;Драматург;селище Сорокине;провулок Черепанових 2-й, буд. 06 кв. 0, Старий Самбір, 40794;029 440 96 52;iholoborodko@example.com
Рудик;Ада;Костянтинівна;Жінка;30-12-1965;Стиліст;хутір Любомль;провулок Пересипський узвіз, буд. 3 кв. 57, Стебник, 79849;032 038-68-59;kostiantynruban@example.net
Онуфрієнко;Сніжана;Глібівна;Жінка;15-01-1955;Агроном;місто Стебник;вулиця Чапаєва, буд. 0, Дубляни, 61189;+380 22 386-87-22;nestorfomenko@example.com
Бабиченко;Сергій;Феофанович;Чоловік;29-06-2004;Живописець;хутір Шостка;набережна Військовий узвіз, буд. 5 кв. 8, Заліщики, 74441;+380 74 758-88-12;olha42@example.com
Луценко;Віолетта;Русланівна;Жінка;29-05-1950;Архітектор;село Жидачів;шосе Текстильників, буд. 40, Чистякове, 76328;758-70-13;ielysavetamatiash@example.com
Приймак;Богдан;Аркадійович;Чоловік;15-01-2007;Ґрунтознавець;село Білогірськ;шосе Віцеадмірала Азарова, буд. 2, Пустомити, 08594;+380 67 269-88-77;teodor50@example.net
Супруненко;Герман;Іллйович;Чоловік;08-05-1939;Мистецтвознавець;хутір Докучаєвськ;узвіз Іванова Ігоря, буд. 223, Приморськ (Україна), 94616;405 32 39;xshtokalo@example.net
Арсенич;Олена;Віталіївна;Жінка;19-08-1952;Мистецтвознавець;хутір Бахмут;вулиця Мигдальна, буд. 66 кв. 9, Зіньків, 31350;+380 64 379 43 24;gtymchenko@example.net
Франко;Артем;Едуардович;Чоловік;05-06-1960;Дантист;селище Тернопіль;узвіз Бузкова, буд. 9, Радивилів, 72201;945-09-02;vakhniiihor@example.com
Андрійчук;Ігнат;Богодарович;Чоловік;17-04-1948;Продюсер;селище Ковель;узвіз Басейна, буд. 535, Світлодарськ, 46641;094 001 69 57;smazur@example.org
Перебийніс;Альбіна;Мирославівна;Жінка;26-12-1956;Економіст;селище Нова Одеса;парк Зоопаркова, буд. 05 кв. 7, Кам'янець-Подільський, 35493;061 163 77 91;makar27@example.org
Бакуменко;Яків;Онисимович;Чоловік;02-09-1946;Гінеколог;хутір Краматорськ;провулок Обривиста, буд. 940, Бучач, 53734;164 99 21;fkomar@example.com
Остапчук;Олекса;Станіславович;Чоловік;21-06-1983;Ґрунтознавець;хутір Старий Крим;шосе Агрономічний, буд. 5 кв. 711, Білозерське, 99583;+380 65 751-79-46;rhrytsenko@example.org
Малик;Костянтин;Єлисейович;Чоловік;06-02-2004;Мікробіолог;місто Білгород-Дністровський;узвіз Думська, буд. 4, Тернопіль, 28745;010 987 51 12;sudovenko@example.net
Батюк;Федір;Геннадійович;Чоловік;15-05-1944;Бібліотекар;село Енергодар;провулок Чорноморський 9-й, буд. 25 кв. 48, Чорнобиль, 56830;815-17-48;adam81@example.org
Ящук;Панас;Русланович;Чоловік;07-05-1975;Музикант;селище Хорол ;вулиця Дачна, буд. 24 кв. 7, Ровеньки, 34398;154-35-49;udakhno@example.net
Шахрай;Мілена;Лукʼянівна;Жінка;14-10-2001;Юрист;місто Сіверськ;вулиця Шилова, буд. 9 кв. 396, Снігурівка, 60889;+380 73 693-05-91;volodymyr69@example.net
Фартушняк;Ганна;Назарівна;Жінка;15-10-1972;Адвокат;селище Прип'ять ;парк Дачний 1-й, буд. 6, Буча, 93605;137-55-98;zhuravelazar@example.net
Шаповал;Станіслав;Соломонович;Чоловік;25-06-2005;Сантехнік;селище Сватове;вулиця Яблунева, буд. 9, Сєвєродонецьк, 42906;+380 (18) 548-59-29;tymofiiieromenko@example.org
Тимчук;Зорян;Аврелійович;Чоловік;24-04-1949;Ріелтор;селище Христинівка;вулиця Толбухіна, буд. 870, Хуст, 99771;+380 42 517-50-94;iesypenkooles@example.org
Щербань;Світлана;Соломонівна;Жінка;28-09-1960;Кушнір;селище Кальміуське;провулок Лядова, буд. 31 кв. 54, Армянськ, 27111;+380 97 004 65 67;allashylo@example.com
Гуцуляк;Марта;Леопольдівна;Жінка;05-11-1990;Лікар;село Святогірськ;шосе Хімічний 2-й, буд. 91 кв. 324, Сновськ, 64957;017 161 38 57;viacheslav76@example.net
Теліженко;Святослава;Єлисеївна;Жінка;29-04-1946;Етнограф;село Городище ;парк Літній, буд. 4 кв. 4, Бурштин , 49291;045 00 68;semeniermolenko@example.net
Хомик;Мартин;Орестович;Чоловік;07-01-2006;Водій;селище Бровари;набережна 7-ма Лінія Дачі Ковалевського, буд. 650, Умань, 40639;088 682-12-59;ieva12@example.org
Остапчук;Феофан;Орестович;Чоловік;21-03-2001;Антрополог;селище Рожище;проспект Ключовий 1-й, буд. 5 кв. 38, Тернопіль, 60145;079 799 63 83;verkholapetro@example.org
Чаленко;Ада;Олегівна;Жінка;18-05-1938;Інженер;селище Сміла;набережна Далекосхідна, буд. 7, Мена , 68162;040 101-44-19;roman54@example.net
Голик;Пріска;Хомівна;Жінка;20-08-1940;Клавішник;місто Новоселиця;узвіз Лінія 46-та, буд. 68 кв. 35, Довжанськ, 19523;089 999-34-55;emiliiasvystun@example.org
Павличенко;Надія;Михайлівна;Жінка;27-03-2004;Журналіст;селище Новгород-Сіверський;провулок Пересипський 2-й, буд. 248, Олешки, 33759;+380 (08) 125-52-06;dupliiiaroslav@example.net
Конопля;Орися;Єлисеївна;Жінка;30-08-1978;Машиніст;селище Конотоп;сквер Деревообробний 3-й, буд. 98, Ізмаїл, 55543;+380 (16) 722-71-61;wvlasenko@example.org
Полтавець;Хома;Алевтинович;Чоловік;12-08-1961;Драматург;хутір Маріуполь;вулиця Мигдальна, буд. 44 кв. 06, Овруч, 06893;178 63 64;erika62@example.com
Венгринович;Ярема;Леонович;Чоловік;03-08-1957;Зоолог;місто Івано-Франківськ;вулиця Молоді, буд. 727, Конотоп, 91720;+380 28 866-02-92;rubetsnadiia@example.net
Шило;Марина;Яремівна;Жінка;20-05-1987;Клавішник;село Шумськ;узвіз Дігтярна, буд. 396 кв. 0, Соледар, 45164;024 763-46-90;volodymyra55@example.org
Малишко;Костянтин;Владиславович;Чоловік;18-05-1950;Няня;місто Привілля;парк 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 30, Кадіївка, 34935;787 39 31;dzhuniustym@example.com
Михалюк;Віолетта;Хомівна;Жінка;23-12-1962;Кінолог;місто Носівка;узвіз Героїв Крут, буд. 41, Севастополь, 81098;819 93 92;dzhuravel@example.org
Алексюк;Пармен;Леонтійович;Чоловік;07-03-1975;Підприємець;селище Вознесенськ;шосе Амундсена, 2-й, буд. 20, Євпаторія, 62463;159 61 65;karmaliukdavyd@example.org
Скопенко;Опанас;Юстимович;Чоловік;31-08-1945;Електромонтажник;хутір Радехів;набережна Запорізька, буд. 34, Ровеньки, 87424;+380 85 400-68-68;khomagalagan@example.com
Безбородьки;Данило;Симонович;Чоловік;01-05-1973;Мистецтвознавець;село Кодима;провулок Лазурний 1-й, буд. 492 кв. 744, Щастя , 70462;+380 73 713 63 88;erika06@example.net
Бабко;Семен;Азарович;Чоловік;13-02-2001;Науковець;селище Андрушівка;площа Яхненка Семена, буд. 5 кв. 0, Чернігів, 42702;073 214 37 09;drobiazkohryhorii@example.com
Лазаренко;Леонтій;Богданович;Чоловік;04-12-1986;Круп'є;місто Дубно;набережна Літня, буд. 1 кв. 9, Кам'янець-Подільський, 22232;099 136-11-53;dutkaprokhir@example.net
Гречаник;Арсен;Демʼянович;Чоловік;07-04-1997;Кухар;селище Сєвєродонецьк;площа Наявний 2-й, буд. 884 кв. 502, Кам'янське, 55908;033 748-79-65;hryhoriitkachenko@example.org
Гавришкевич;Лесь;Прохірович;Чоловік;04-11-1994;Історик;селище Моршин;площа Дунаєвського 1-й, буд. 68 кв. 583, Вишгород, 57318;425-94-35;myroslavaleksiuk@example.com
Лавренко;Оксенія;Іванівна;Жінка;24-07-1998;Піаніст;місто Вижниця;сквер Прорізний, буд. 9 кв. 248, Вінниця, 44703;580-63-19;svitlana74@example.com
Бандура;Віталій;Костянтинович;Чоловік;21-11-1952;Підприємець;село Белз;шосе Туристський, буд. 2 кв. 16, Хмельницький, 54623;077 758 75 89;oksanadrobakha@example.net
Чуприна;Марія;Олексівна;Жінка;27-03-1966;Історик;місто Новоазовськ;набережна Привокзальний, буд. 420 кв. 93, Ялта, 63044;060 823 86 58;mariiadatsiuk@example.org
Хоменко;Орхип;Тимофійович;Чоловік;20-10-1949;Графік;місто Зимогір'я;провулок Привокзальна, буд. 613, Олешки, 66730;+380 43 312-58-17;kylymnykvalentyna@example.com
Бандура;Венедикт;Яремович;Чоловік;02-01-1946;Юрист;місто Зборів;провулок Прибережний, буд. 784 кв. 041, Бершадь, 80685;063 513-60-75;viktoratamanchuk@example.org
